employee_id,full_name_hash,department,job_level,location,hire_date,annual_salary,performance_score,is_remote,work_email,phone_number
EMP-5529,employee_529,Customer Support,Senior,Singapore,2015-01-05 00:31:42.702702702,92800.0,3.86,False,employee529@insightforge-demo.com,+1-555-609-8580
EMP-5059,employee_59,HR,Lead,New York,2015-01-09 01:03:25.405405405,130900.0,3.58,False,employee59@insightforge-demo.com,+1-555-522-4634
EMP-5036,employee_36,Finance,Lead,Bangalore,2015-01-13 01:35:08.108108108,132900.0,4.33,True,employee36@insightforge-demo.com,+1-555-414-5773
EMP-5569,employee_569,Engineering,Mid,Toronto,2015-01-13 01:35:08.108108108,82500.0,3.54,True,employee569@insightforge-demo.com,+1-555-257-5784
EMP-5575,employee_575,Sales,Mid,London,2015-01-25 03:10:16.216216216,73400.0,3.46,False,employee575@insightforge-demo.com,+1-555-745-2325
EMP-5413,employee_413,Engineering,Director,Toronto,2015-02-02 04:13:41.621621621,182600.0,2.93,True,employee413@insightforge-demo.com,+1-555-500-2979
EMP-5473,employee_473,Sales,Manager,Remote,2015-02-02 04:13:41.621621621,137100.0,4.25,False,employee473@insightforge-demo.com,+1-555-732-9268
EMP-5585,employee_585,Marketing,Junior,London,2015-02-14 05:48:49.729729729,65200.0,2.5,False,employee585@insightforge-demo.com,+1-555-158-5547
EMP-5119,employee_119,Sales,Junior,New York,2015-02-18 06:20:32.432432432,59600.0,3.26,False,employee119@insightforge-demo.com,+1-555-391-1445
EMP-5100,employee_100,Sales,Mid,London,2015-03-06 08:27:23.243243243,61400.0,3.29,False,employee100@insightforge-demo.com,+1-555-353-2274
EMP-5012,employee_12,Engineering,Mid,New York,2015-03-10 08:59:05.945945946,63000.0,3.08,False,employee12@insightforge-demo.com,+1-555-390-2540
EMP-5192,employee_192,Sales,Lead,Bangalore,2015-03-10 08:59:05.945945946,133800.0,3.32,False,employee192@insightforge-demo.com,+1-555-365-2949
EMP-5220,employee_220,Sales,Senior,Toronto,2015-03-18 10:02:31.351351351,105900.0,3.19,False,employee220@insightforge-demo.com,+1-555-465-2446
EMP-5510,employee_510,Customer Support,Junior,Toronto,2015-05-01 15:51:21.081081080,53200.0,3.46,False,employee510@insightforge-demo.com,+1-555-186-6806
EMP-5282,employee_282,Operations,Lead,Toronto,2015-05-05 16:23:03.783783784,129500.0,3.47,True,employee282@insightforge-demo.com,+1-555-744-1705
EMP-5559,employee_559,HR,Senior,Remote,2015-05-17 17:58:11.891891892,104200.0,3.42,False,employee559@insightforge-demo.com,+1-555-217-7875
EMP-5066,employee_66,Finance,Junior,Toronto,2015-05-21 18:29:54.594594594,50900.0,3.3,False,employee66@insightforge-demo.com,+1-555-668-7759
EMP-5195,employee_195,HR,Senior,New York,2015-06-02 20:05:02.702702702,97700.0,2.86,False,employee195@insightforge-demo.com,+1-555-974-1999
EMP-5443,employee_443,Customer Support,Senior,Singapore,2015-06-18 22:11:53.513513512,93500.0,4.21,True,employee443@insightforge-demo.com,+1-555-455-1787
EMP-5405,employee_405,Engineering,Mid,Remote,2015-06-30 23:47:01.621621620,74000.0,4.45,True,employee405@insightforge-demo.com,+1-555-767-2379
EMP-5072,employee_72,Marketing,Lead,Bangalore,2015-07-05 00:18:44.324324324,129000.0,,False,employee72@insightforge-demo.com,+1-555-763-9586
EMP-5019,employee_19,HR,Junior,Toronto,2015-07-21 02:25:35.135135134,49700.0,3.36,False,employee19@insightforge-demo.com,+1-555-279-4633
EMP-5138,employee_138,HR,Senior,Toronto,2015-07-25 02:57:17.837837838,97300.0,1.78,False,employee138@insightforge-demo.com,+1-555-160-6342
EMP-5178,employee_178,Sales,Director,New York,2015-07-29 03:29:00.540540540,178600.0,3.1,True,employee178@insightforge-demo.com,+1-555-312-4839
EMP-5055,employee_55,HR,Junior,Bangalore,2015-08-06 04:32:25.945945944,33200.0,3.53,True,employee55@insightforge-demo.com,+1-555-775-4605
EMP-5331,employee_331,Sales,Mid,London,2015-08-10 05:04:08.648648648,83600.0,3.87,False,employee331@insightforge-demo.com,+1-555-610-2846
EMP-5269,employee_269,Marketing,Director,Toronto,2015-08-30 07:42:42.162162160,173100.0,2.85,False,employee269@insightforge-demo.com,+1-555-144-5303
