order_id,order_date,region,product_category,sales_channel,unit_price,quantity,discount_pct,revenue,customer_email,customer_satisfaction
ORD-101487,2023-01-01,Europe,Sports,Marketplace,114.84,13,10,1343.61,customer1487@example.com,5.0
ORD-101408,2023-01-02,Europe,Electronics,Retail Store,92.24,2,0,185.02,customer1408@example.com,4.1
ORD-101481,2023-01-02,North America,Home & Garden,Wholesale,87.25,10,0,875.01,customer1481@example.com,3.7
ORD-100772,2023-01-04,North America,Toys,Marketplace,312.29,11,0,3465.2,customer772@example.com,4.4
ORD-101236,2023-01-04,Middle East,Groceries,Wholesale,68.48,6,0,414.47,customer1236@example.com,4.6
ORD-100380,2023-01-04,Asia Pacific,Groceries,Wholesale,30.23,12,0,365.88,customer380@example.com,3.9
ORD-100845,2023-01-04,Europe,Toys,Retail Store,54.07,6,5,310.89,customer845@example.com,5.0
ORD-101293,2023-01-04,North America,Sports,Marketplace,119.42,8,0,963.74,customer1293@example.com,3.2
ORD-100844,2023-01-04,Middle East,Sports,Marketplace,123.56,5,15,529.72,customer844@example.com,3.8
ORD-100900,2023-01-04,Middle East,Toys,Wholesale,11.56,8,0,93.28,customer900@example.com,3.8
ORD-100464,2023-01-05,North America,Groceries,Marketplace,83.91,7,15,505.11,customer464@example.com,4.2
ORD-100706,2023-01-06,Asia Pacific,Sports,Retail Store,113.13,2,5,218.08,customer706@example.com,4.8
ORD-100103,2023-01-06,Asia Pacific,Sports,Online,71.98,9,20,525.8,customer103@example.com,3.2
ORD-101189,2023-01-06,Latin America,Sports,Online,44.37,5,20,180.07,customer1189@example.com,4.6
ORD-100574,2023-01-06,Latin America,Electronics,Retail Store,103.81,11,20,926.87,customer574@example.com,4.2
ORD-101278,2023-01-06,Latin America,Apparel,Online,111.01,10,0,1126.32,customer1278@example.com,3.2
ORD-101174,2023-01-07,Latin America,Electronics,Wholesale,142.14,12,5,1648.72,customer1174@example.com,3.4
ORD-101069,2023-01-08,Latin America,Apparel,Retail Store,95.9,13,20,1017.66,customer1069@example.com,5.0
ORD-100302,2023-01-08,Europe,Sports,Online,30.14,4,0,123.03,customer302@example.com,3.7
ORD-100800,2023-01-09,Europe,Apparel,Online,27.28,8,10,201.01,customer800@example.com,3.5
ORD-100789,2023-01-09,Middle East,Electronics,Retail Store,86.06,8,20,563.62,customer789@example.com,3.2
ORD-101037,2023-01-11,Latin America,Sports,Marketplace,228.61,10,15,1999.75,customer1037@example.com,4.8
ORD-100409,2023-01-11,Latin America,Apparel,Wholesale,119.97,6,15,629.67,customer409@example.com,3.4
ORD-100838,2023-01-11,Europe,Apparel,Online,31.7,8,20,208.76,customer838@example.com,4.4
ORD-101120,2023-01-11,Middle East,Apparel,Online,286.94,11,0,3248.27,customer1120@example.com,4.0
ORD-100888,2023-01-12,Latin America,Electronics,Retail Store,150.28,9,5,1326.01,customer888@example.com,4.1
ORD-101365,2023-01-13,North America,Home & Garden,Marketplace,117.13,11,10,1200.02,customer1365@example.com,3.0
ORD-100414,2023-01-14,Middle East,Groceries,Retail Store,80.39,3,0,250.28,customer414@example.com,4.3
ORD-100477,2023-01-14,Europe,Sports,Marketplace,63.97,11,10,657.19,customer477@example.com,3.0
ORD-100232,2023-01-15,Latin America,Sports,Retail Store,138.4,5,5,684.12,customer232@example.com,3.9
ORD-100539,2023-01-16,Latin America,Electronics,Wholesale,132.36,8,15,939.17,customer539@example.com,4.2
ORD-100299,2023-01-16,Europe,Toys,Wholesale,135.15,5,0,705.12,customer299@example.com,3.3
ORD-100368,2023-01-17,North America,Apparel,Wholesale,23.21,9,15,185.75,customer368@example.com,5.0
ORD-101166,2023-01-17,Latin America,Groceries,Wholesale,34.99,8,10,263.61,customer1166@example.com,2.7
ORD-100271,2023-01-17,Middle East,Home & Garden,Wholesale,107.26,10,0,1122.26,customer271@example.com,3.6
ORD-100169,2023-01-17,Middle East,Home & Garden,Retail Store,43.62,2,0,91.28,customer169@example.com,4.2
ORD-100820,2023-01-18,North America,Groceries,Wholesale,35.54,1,20,29.83,customer820@example.com,3.7
ORD-100453,2023-01-19,North America,Apparel,Wholesale,20.49,6,15,109.92,customer453@example.com,3.4
ORD-101179,2023-01-19,Europe,Toys,Online,120.57,6,10,684.93,customer1179@example.com,3.6
ORD-101398,2023-01-19,Middle East,Sports,Retail Store,140.57,10,0,1478.82,customer1398@example.com,3.6
ORD-100428,2023-01-19,Europe,Electronics,Marketplace,97.87,2,5,195.63,customer428@example.com,3.2
ORD-101299,2023-01-22,Middle East,Electronics,Online,38.12,2,0,80.84,customer1299@example.com,4.7
ORD-100829,2023-01-22,Europe,Sports,Wholesale,16.73,14,10,223.53,customer829@example.com,4.4
ORD-101492,2023-01-22,Latin America,Toys,Online,39.7,12,20,404.13,customer1492@example.com,5.0
ORD-100137,2023-01-23,Europe,Home & Garden,Wholesale,78.65,13,5,1032.71,customer137@example.com,
ORD-100786,2023-01-24,Middle East,Electronics,Wholesale,10.19,12,5,123.8,customer786@example.com,5.0
ORD-100384,2023-01-24,Asia Pacific,Toys,Online,44.33,10,0,472.59,customer384@example.com,4.1
ORD-100662,2023-01-26,Latin America,Groceries,Online,103.0,2,0,220.71,customer662@example.com,5.0
ORD-100146,2023-01-26,North America,Toys,Online,74.4,13,20,829.0,customer146@example.com,4.8
ORD-101445,2023-01-27,Asia Pacific,Sports,Online,53.36,11,0,630.48,customer1445@example.com,3.8
ORD-100969,2023-01-27,Asia Pacific,Groceries,Retail Store,31.31,12,0,403.61,customer969@example.com,3.8
ORD-100843,2023-01-27,Asia Pacific,Home & Garden,Online,33.03,8,0,283.81,customer843@example.com,4.1
ORD-101265,2023-01-27,Latin America,Electronics,Retail Store,164.27,8,0,1411.59,customer1265@example.com,5.0
ORD-100116,2023-01-28,Latin America,Apparel,Wholesale,49.67,11,5,558.88,customer116@example.com,3.8
ORD-100327,2023-01-28,Asia Pacific,Electronics,Online,63.52,3,20,164.16,customer327@example.com,3.4
ORD-101451,2023-01-30,North America,Groceries,Marketplace,71.89,9,0,700.17,customer1451@example.com,3.3
ORD-101239,2023-01-30,Europe,Sports,Marketplace,183.98,14,20,2229.92,customer1239@example.com,4.6
ORD-100869,2023-01-30,Latin America,Sports,Wholesale,119.56,5,10,582.22,customer869@example.com,3.9
ORD-101098,2023-01-31,Asia Pacific,Toys,Online,118.74,4,15,437.95,customer1098@example.com,4.0
ORD-100901,2023-01-31,Latin America,Apparel,Wholesale,53.9,12,0,701.71,customer901@example.com,4.2
ORD-101018,2023-01-31,Middle East,Home & Garden,Wholesale,51.05,9,20,398.69,customer1018@example.com,4.2
ORD-100249,2023-01-31,Asia Pacific,Apparel,Wholesale,102.55,7,5,739.78,customer249@example.com,3.9
ORD-100561,2023-02-01,North America,Apparel,Retail Store,139.77,14,5,2021.41,customer561@example.com,5.0
ORD-100055,2023-02-01,Middle East,Home & Garden,Wholesale,94.27,3,20,246.04,customer55@example.com,3.6
ORD-100816,2023-02-01,Europe,Apparel,Retail Store,18.32,3,0,59.76,customer816@example.com,4.9
ORD-100396,2023-02-02,North America,Groceries,Retail Store,108.89,10,15,1008.91,customer396@example.com,3.1
ORD-100810,2023-02-02,North America,Apparel,Marketplace,54.98,9,5,512.36,customer810@example.com,4.9
ORD-100351,2023-02-02,Asia Pacific,Electronics,Wholesale,34.28,11,10,369.93,customer351@example.com,
ORD-101109,2023-02-02,Asia Pacific,Groceries,Marketplace,70.09,3,20,183.36,customer1109@example.com,
ORD-101462,2023-02-04,North America,Home & Garden,Marketplace,105.07,12,5,1311.78,customer1462@example.com,5.0
ORD-100573,2023-02-05,Asia Pacific,Toys,Retail Store,82.52,11,0,996.33,customer573@example.com,4.4
ORD-101285,2023-02-05,North America,Electronics,Retail Store,87.43,11,0,1055.64,customer1285@example.com,3.8
ORD-101269,2023-02-05,North America,Toys,Retail Store,87.04,12,0,1146.47,customer1269@example.com,3.9
ORD-100698,2023-02-06,Asia Pacific,Toys,Online,331.47,9,10,2953.88,customer698@example.com,4.8
ORD-101452,2023-02-07,Europe,Home & Garden,Online,94.68,8,5,793.45,customer1452@example.com,5.0
ORD-100583,2023-02-07,Latin America,Groceries,Wholesale,79.57,1,15,74.57,customer583@example.com,3.7
ORD-101463,2023-02-07,Asia Pacific,Sports,Marketplace,51.09,3,0,169.01,customer1463@example.com,5.0
ORD-100847,2023-02-07,Latin America,Sports,Wholesale,47.68,12,5,599.3,customer847@example.com,4.3
